Gene Symbol	Tier
A1CF	2
ABI1	1
ABL1	1
ABL2	1
ACKR3	1
ACSL3	1
ACSL6	2
ACVR1	1
ACVR2A	1
AFF1	1
AFF3	1
AFF4	1
AKAP9	2
AKT1	1
AKT2	1
AKT3	2
ALDH2	2
ALK	1
AMER1	1
ANK1	2
APC	1
APOBEC3B	1
AR	1
ARAF	2
ARHGAP26	1
ARHGAP5	2
ARHGEF10	2
ARHGEF10L	2
ARHGEF12	1
ARID1A	1
ARID1B	1
ARID2	1
ARNT	1
ASPSCR1	1
ASXL1	1
ASXL2	2
ATF1	1
ATIC	1
ATM	1
ATP1A1	1
ATP2B3	1
ATR	1
ATRX	1
AXIN1	1
AXIN2	1
B2M	1
BAP1	1
BARD1	1
BAX	1
BAZ1A	2
BCL10	1
BCL11A	1
BCL11B	1
BCL2	1
BCL2L12	2
BCL3	1
BCL6	1
BCL7A	1
BCL9	1
BCL9L	1
BCLAF1	2
BCOR	1
BCORL1	1
BCR	1
BIRC3	1
BIRC6	2
BLM	1
BMP5	2
BMPR1A	1
BRAF	1
BRCA1	1
BRCA2	1
BRD3	1
BRD4	1
BRIP1	1
BTG1	1
BTK	1
BUB1B	1
C15orf65	2
C2orf44	1
CACNA1D	1
CALR	1
CAMTA1	1
CANT1	1
CARD11	1
CARS	1
CASC5	1
CASP3	2
CASP8	1
CASP9	2
CBFA2T3	1
CBFB	1
CBL	1
CBLB	1
CBLC	1
CCDC6	1
CCNB1IP1	1
CCNC	2
CCND1	1
CCND2	1
CCND3	1
CCNE1	1
CCR4	2
CCR7	2
CD209	2
CD274	1
CD28	2
CD74	1
CD79A	1
CD79B	1
CDC73	1
CDH1	1
CDH10	2
CDH11	1
CDH17	2
CDK12	1
CDK4	1
CDK6	1
CDKN1A	2
CDKN1B	1
CDKN2A	1
CDKN2C	1
CDX2	1
CEBPA	1
CEP89	2
CHCHD7	1
CHD2	2
CHD4	1
CHEK2	1
CHIC2	2
CHST11	2
CIC	1
CIITA	1
CLIP1	1
CLP1	2
CLTC	1
CLTCL1	1
CNBD1	2
CNBP	1
CNOT3	1
CNTNAP2	2
CNTRL	1
COL1A1	1
COL2A1	1
COL3A1	2
COX6C	2
CPEB3	2
CREB1	1
CREB3L1	1
CREB3L2	1
CREBBP	1
CRLF2	1
CRNKL1	2
CRTC1	1
CRTC3	1
CSF1R	2
CSF3R	1
CSMD3	2
CTCF	1
CTNNA2	2
CTNNB1	1
CTNND1	2
CTNND2	2
CUL3	2
CUX1	1
CXCR4	1
CYLD	1
CYP2C8	2
CYSLTR2	2
DAXX	1
DCAF12L2	2
DCC	2
DCTN1	1
DDB2	1
DDIT3	1
DDR2	1
DDX10	1
DDX3X	1
DDX5	1
DDX6	1
DEK	1
DGCR8	2
DICER1	1
DNAJB1	1
DNM2	1
DNMT3A	1
DROSHA	1
DUX4L1	2
EBF1	1
ECT2L	2
EED	2
EGFR	1
EIF1AX	2
EIF3E	1
EIF4A2	1
ELF3	2
ELF4	1
ELK4	1
ELL	1
ELN	2
EML4	1
EP300	1
EPAS1	1
EPHA3	2
EPHA7	2
EPS15	1
ERBB2	1
ERBB3	1
ERBB4	1
ERC1	1
ERCC2	1
ERCC3	1
ERCC4	1
ERCC5	1
ERG	1
ESR1	1
ETNK1	1
ETV1	1
ETV4	1
ETV5	1
ETV6	1
EWSR1	1
EXT1	1
EXT2	1
EZH2	1
EZR	1
FAM131B	2
FAM135B	2
FAM46C	1
FAM47C	2
FANCA	1
FANCC	1
FANCD2	1
FANCE	1
FANCF	1
FANCG	1
FAS	1
FAT1	1
FAT3	2
FAT4	1
FBLN2	2
FBXO11	1
FBXW7	1
FCGR2B	1
FCRL4	1
FEN1	2
FES	1
FEV	1
FGFR1	1
FGFR1OP	1
FGFR2	1
FGFR3	1
FGFR4	1
FH	1
FHIT	1
FIP1L1	1
FKBP9	2
FLCN	1
FLI1	1
FLNA	2
FLT3	1
FLT4	1
FNBP1	2
FOXA1	1
FOXL2	1
FOXO1	1
FOXO3	1
FOXO4	1
FOXP1	1
FOXR1	2
FSTL3	1
FUBP1	1
FUS	1
GAS7	1
GATA1	1
GATA2	1
GATA3	1
GLI1	2
GMPS	2
GNA11	1
GNAQ	1
GNAS	1
GOLGA5	1
GOPC	1
GPC3	1
GPC5	2
GPHN	1
GRIN2A	1
GRM3	2
H3F3A	1
H3F3B	1
HERPUD1	1
HEY1	1
HIF1A	1
HIP1	1
HIST1H3B	1
HIST1H4I	1
HLA-A	1
HLF	1
HMGA1	1
HMGA2	1
HMGN2P46	2
HNF1A	1
HNRNPA2B1	1
HOOK3	1
HOXA11	1
HOXA13	1
HOXA9	1
HOXC11	1
HOXC13	1
HOXD11	1
HOXD13	1
HRAS	1
HSP90AA1	1
HSP90AB1	1
ID3	2
IDH1	1
IDH2	1
IGF2BP2	2
IGH	1
IGK	1
IGL	1
IKBKB	1
IKZF1	1
IL2	1
IL21R	1
IL6ST	1
IL7R	1
IRF4	1
IRS4	1
ISX	2
ITGAV	2
ITK	1
JAK1	1
JAK2	1
JAK3	1
JAZF1	2
JUN	1
KAT6A	1
KAT6B	1
KAT7	2
KCNJ5	1
KDM5A	1
KDM5C	1
KDM6A	1
KDR	1
KDSR	1
KEAP1	1
KIAA1549	2
KIAA1598	2
KIF5B	1
KIT	1
KLF4	1
KLF6	1
KLK2	1
KMT2A	1
KMT2C	1
KMT2D	1
KNSTRN	2
KRAS	1
KTN1	1
LARP4B	2
LASP1	1
LCK	1
LCP1	2
LEF1	1
LEPROTL1	2
LHFP	2
LIFR	1
LMNA	1
LMO1	1
LMO2	1
LPP	1
LRIG3	1
LRP1B	1
LSM14A	2
LYL1	1
LZTR1	1
MAF	1
MAFB	1
MALAT1	2
MALT1	1
MAML2	1
MAP2K1	1
MAP2K2	1
MAP2K4	1
MAP3K1	1
MAP3K13	1
MAPK1	1
MAX	1
MB21D2	2
MDM2	1
MDM4	1
MDS2	2
MECOM	1
MED12	1
MEN1	1
MET	1
MGMT	2
MITF	1
MKL1	1
MLF1	1
MLH1	1
MLLT1	1
MLLT10	1
MLLT11	1
MLLT3	1
MLLT4	1
MLLT6	1
MN1	1
MNX1	2
MPL	1
MSH2	1
MSH6	1
MSI2	1
MSN	1
MTCP1	1
MTOR	1
MUC1	1
MUC16	2
MUC4	2
MUTYH	1
MYB	1
MYC	1
MYCL	1
MYCN	1
MYD88	1
MYH11	1
MYH9	1
MYO5A	1
MYOD1	1
N4BP2	2
NAB2	1
NACA	2
NBEA	2
NBN	1
NCKIPSD	2
NCOA1	1
NCOA2	1
NCOA4	1
NCOR1	1
NCOR2	1
NDRG1	1
NF1	1
NF2	1
NFATC2	1
NFE2L2	1
NFIB	1
NFKB2	1
NFKBIE	1
NIN	1
NKX2-1	1
NONO	1
NOTCH1	1
NOTCH2	1
NPM1	1
NR4A3	1
NRAS	1
NRG1	1
NSD1	1
NT5C2	1
NTHL1	2
NTRK1	1
NTRK3	1
NUMA1	1
NUP214	1
NUP98	1
NUTM1	1
NUTM2A	1
NUTM2B	1
OLIG2	1
OMD	2
P2RY8	1
PABPC1	2
PAFAH1B2	1
PALB2	1
PAX3	1
PAX5	1
PAX7	1
PAX8	1
PBRM1	1
PBX1	1
PCBP1	2
PCM1	1
PDCD1LG2	1
PDE4DIP	1
PDGFB	1
PDGFRA	1
PDGFRB	1
PER1	1
PHF6	1
PHOX2B	1
PICALM	1
PIK3CA	1
PIK3CB	1
PIK3R1	1
PIM1	1
PLAG1	1
PLCG1	1
PML	1
PMS1	2
PMS2	1
POLD1	1
POLE	1
POLG	2
POLQ	1
POT1	1
POU2AF1	1
POU5F1	1
PPARG	1
PPFIBP1	1
PPM1D	1
PPP2R1A	1
PPP6C	1
PRCC	1
PRDM1	1
PRDM16	1
PRDM2	2
PREX2	1
PRF1	1
PRKACA	1
PRKAR1A	1
PRKCB	2
PRPF40B	2
PRRX1	1
PSIP1	1
PTCH1	1
PTEN	1
PTK6	1
PTPN11	1
PTPN13	1
PTPN6	2
PTPRB	1
PTPRC	1
PTPRD	2
PTPRK	1
PTPRT	1
PWWP2A	2
QKI	1
RABEP1	1
RAC1	1
RAD17	2
RAD21	1
RAD51B	1
RAF1	1
RALGDS	2
RANBP2	1
RAP1GDS1	1
RARA	1
RB1	1
RBM10	1
RBM15	1
RECQL4	1
REL	1
RET	1
RFWD3	2
RGPD3	2
RGS7	2
RHOA	1
RHOH	1
RMI2	1
RNF213	1
RNF43	1
ROBO2	2
ROS1	1
RPL10	1
RPL22	1
RPL5	1
RPN1	1
RSPO2	1
RSPO3	1
RUNDC2A	2
RUNX1	1
RUNX1T1	1
S100A7	2
SALL4	1
SBDS	1
SDC4	1
SDHA	1
SDHAF2	1
SDHB	1
SDHC	1
SDHD	1
SEPT5	2
SEPT6	2
SEPT9	2
SET	1
SETBP1	1
SETD1B	2
SETD2	1
SF3B1	1
SFPQ	1
SFRP4	1
SGK1	2
SH2B3	1
SH3GL1	1
SIRPA	2
SIX1	1
SIX2	2
SKI	2
SLC34A2	1
SLC45A3	1
SMAD2	1
SMAD3	1
SMAD4	1
SMARCA4	1
SMARCB1	1
SMARCD1	1
SMARCE1	1
SMC1A	2
SMO	1
SND1	1
SOCS1	1
SOX2	1
SOX21	2
SPECC1	2
SPEN	1
SPOP	1
SRC	1
SRGAP3	2
SRSF2	1
SRSF3	1
SS18	1
SS18L1	1
SSX1	1
SSX2	1
SSX4	1
STAG1	2
STAG2	1
STAT3	1
STAT5B	1
STAT6	1
STIL	1
STK11	1
STRN	1
SUFU	1
SUZ12	1
SYK	1
TAF15	1
TAL1	1
TAL2	1
TBL1XR1	1
TBX3	1
TCEA1	1
TCF12	1
TCF3	1
TCF7L2	1
TCL1A	1
TEC	2
TERT	1
TET1	1
TET2	1
TFE3	1
TFEB	1
TFG	1
TFPT	2
TFRC	2
TGFBR2	1
THRAP3	2
TLX1	1
TLX3	1
TMEM127	1
TMPRSS2	1
TNC	2
TNFAIP3	1
TNFRSF14	1
TNFRSF17	1
TOP1	1
TP53	1
TP63	1
TPM3	1
TPM4	1
TPR	1
TRA	1
TRAF7	1
TRB	1
TRD	1
TRIM24	1
TRIM27	1
TRIM33	1
TRIP11	1
TRRAP	1
TSC1	1
TSC2	1
TSHR	1
U2AF1	1
UBR5	1
USP44	2
USP6	1
USP8	1
VAV1	2
VHL	1
VTI1A	2
WAS	1
WHSC1	1
WHSC1L1	1
WIF1	1
WNK2	2
WRN	1
WT1	1
WWTR1	1
XPA	1
XPC	1
XPO1	1
YWHAE	1
ZBTB16	1
ZCCHC8	2
ZEB1	2
ZFHX3	1
ZMYM3	2
ZNF198	1
ZNF278	1
ZNF331	1
ZNF384	1
ZNF429	2
ZNF479	2
ZNF521	1
ZNRF3	2
ZRSR2	1
